identifier_plus_noun,identifier_count,noun_count,phrase_count,PMI
second day,11,14,4,9.218036353567244
really nothing,5,2,2,12.162894799374783
perfect choice,1,5,1,12.162894799374783
cold winter,8,1,1,11.484822894262146
double bed,11,14,3,8.8029988542884
accessible plug,1,2,1,13.484822894262146
t take,27,1,1,9.729935392098676
few sachet,6,1,1,11.899860393540989
hot chocolate,9,1,1,11.314897892819832
t matter,27,1,1,9.729935392098676
low lucky,2,1,1,13.484822894262146
small esp,44,1,1,9.025391275624848
convincing explanation,1,1,1,14.484822894262146
lower ground,6,4,4,11.899860393540989
t smell,27,9,1,6.560010390656364
already part,1,3,1,12.899860393540989
best start,3,1,1,12.899860393540989
wrong room,4,100,1,5.840966704487421
valid timeset,1,1,1,14.484822894262146
european staff,2,8,1,10.484822894262146
cheap orange,2,1,1,13.484822894262146
tap water,1,7,1,11.677467972204541
horrible exchange,4,1,1,12.484822894262146
so disgusting,1,0,1,0.0
make sure,1,1,1,14.484822894262146
early arrival,4,1,1,12.484822894262146
last year,3,1,1,12.899860393540989
ten day,1,14,1,10.677467972204541
cleaner maid,2,1,1,13.484822894262146
not happening,17,0,1,0.0
5th floor,1,22,1,10.025391275624848
fast lack,1,2,1,13.484822894262146
replenish toiletry,1,1,1,14.484822894262146
facial tissue,1,1,1,14.484822894262146
bed cover,2,2,1,12.484822894262146
central heating,5,2,2,12.162894799374783
not working,17,1,5,12.719288147899169
other review,19,3,1,8.651932880097403
dated apart,3,1,1,12.899860393540989
other room,19,100,6,6.178001691764992
eg talking,1,0,1,0.0
double room,11,100,5,6.7034631807374865
really struggling,5,0,1,0.0
wardrobe space,1,9,1,11.314897892819832
enough plug,5,2,1,11.162894799374783
umcomfortable facilities,1,1,1,14.484822894262146
basic toileteries,4,1,1,12.484822894262146
only shampoo,17,1,1,10.397360053011806
shower gel,6,1,1,11.899860393540989
bad quality,14,6,1,8.092505471483385
same area,13,7,1,7.977028254063449
several time,4,18,2,9.314897892819832
slow room,3,100,1,6.256004203766265
small room,44,100,16,6.381535085850124
